date,temp.mean
12/10/07,8.1309375
12/11/07,8.1184375
12/12/07,8.110625
12/13/07,8.104895833
12/14/07,8.100208333
12/15/07,8.078854167
12/16/07,8.052291667
12/17/07,8.025729167
12/18/07,7.977291667
12/19/07,7.944479167
12/20/07,7.918958333
12/21/07,7.906458333
12/22/07,7.876770833
12/23/07,7.8871875
12/24/07,7.895
12/25/07,7.8403125
12/26/07,7.847083333
12/27/07,7.813229167
12/28/07,7.791354167
12/29/07,7.764270833
12/30/07,7.7163125
12/31/07,7.7084375
1/1/08,7.6880625
1/2/08,7.609958333
1/3/08,7.644583333
1/4/08,7.633604167
1/5/08,7.597875
1/6/08,7.564520833
1/7/08,7.543145833
1/8/08,7.505604167
1/9/08,7.494041667
1/10/08,7.475666667
1/11/08,7.496083333
1/12/08,7.497645833
1/13/08,7.518479167
1/14/08,7.522125
1/15/08,7.510145833
1/16/08,7.480458333
1/17/08,7.444520833
1/18/08,7.427791667
1/19/08,7.406
1/20/08,7.371645833
1/21/08,7.3023125
1/22/08,7.275479167
1/23/08,7.2644375
1/24/08,7.246479167
1/25/08,7.229583333
1/26/08,7.204041667
1/27/08,7.173770833
1/28/08,7.155541667
1/29/08,7.136854167
1/30/08,7.116833333
1/31/08,7.099479167
2/1/08,7.101166667
2/2/08,7.095229167
2/3/08,7.0843125
2/4/08,7.061791667
2/5/08,7.022625
2/6/08,7.011625
2/7/08,6.989625
2/8/08,6.996333333
2/9/08,7.009020833
2/10/08,7.020604167
2/11/08,7.03375
2/12/08,7.05125
2/13/08,7.063291667
2/14/08,7.077458333
2/15/08,7.08475
2/16/08,7.089458333
2/17/08,7.087395833
2/18/08,7.094229167
2/19/08,7.089458333
2/20/08,7.108354167
2/21/08,7.127416667
2/22/08,7.150625
2/23/08,7.1716875
2/24/08,7.180020833
2/25/08,7.202416667
2/26/08,7.226916667
2/27/08,7.2439375
2/28/08,7.266583333
2/29/08,7.2909375
3/1/08,7.304479167
3/2/08,7.304458333
3/3/08,7.296645833
3/4/08,7.311229167
3/5/08,7.330541667
3/6/08,7.3378125
3/7/08,7.353416667
3/8/08,7.377458333
3/9/08,7.401166667
3/10/08,7.417916667
3/11/08,7.428375
3/12/08,7.423520833
3/13/08,7.425729167
3/14/08,7.435145833
3/15/08,7.457020833
3/16/08,7.468479167
3/17/08,7.469
3/18/08,7.496125
3/19/08,7.503375
3/20/08,7.499729167
3/21/08,7.4986875
3/22/08,7.513791667
3/23/08,7.518479167
3/24/08,7.519
3/25/08,7.525770833
3/26/08,7.5393125
3/27/08,7.524208333
3/28/08,7.488791667
3/29/08,7.482020833
3/30/08,7.4955625
3/31/08,7.539979167
4/1/08,7.54825
4/2/08,7.588458333
4/3/08,7.622979167
4/4/08,7.645729167
4/5/08,7.647458333
4/6/08,7.6621875
4/7/08,7.692916667
4/8/08,7.703333333
4/9/08,7.715833333
4/10/08,7.742916667
4/11/08,7.7840625
4/12/08,7.823645833
4/13/08,7.870520833
4/14/08,7.903854167
4/15/08,7.911145833
4/16/08,7.943958333
4/17/08,7.967916667
4/18/08,7.967916667
4/19/08,7.958020833
4/20/08,7.941354167
4/21/08,7.964270833
4/22/08,8.008541667
4/23/08,8.031458333
4/24/08,8.041875
4/25/08,8.083520833
4/26/08,8.176583333
4/27/08,8.158520833
4/28/08,8.187104167
4/29/08,8.233895833
4/30/08,8.263020833
5/1/08,8.268895833
5/2/08,8.265791667
5/3/08,8.249166667
5/4/08,8.264541667
5/5/08,8.308604167
5/6/08,8.331229167
5/7/08,8.362875
5/8/08,8.4065
5/9/08,8.471041667
5/10/08,8.513583333
5/11/08,8.547416667
5/12/08,8.632875
5/13/08,8.609145833
5/14/08,8.590416667
5/15/08,8.621104167
5/16/08,8.693541667
5/17/08,8.823895833
5/18/08,8.85025
5/19/08,8.840416667
5/20/08,8.778020833
5/21/08,8.757645833
5/22/08,8.783
5/23/08,9.029145833
5/24/08,9.0333125
5/25/08,9.115895833
5/26/08,9.122041667
5/27/08,9.0885
5/28/08,9.1273125
5/29/08,9.135458333
5/30/08,9.124083333
5/31/08,9.165395833
6/1/08,9.102020833
6/2/08,9.0911875
6/3/08,9.0485
6/4/08,9.011416667
6/5/08,8.9834375
6/6/08,8.982916667
6/7/08,9.040229167
6/8/08,9.084916667
6/9/08,9.111291667
6/10/08,9.0936875
6/11/08,9.108666667
6/12/08,9.162895833
6/13/08,9.256604167
6/14/08,9.42425
6/15/08,9.663979167
6/16/08,9.67175
6/17/08,9.653375
6/18/08,9.593770833
6/19/08,9.512083333
6/20/08,9.479229167
6/21/08,9.439645833
6/22/08,9.451520833
6/23/08,9.433458333
6/24/08,9.424708333
6/25/08,9.525166667
6/26/08,9.535416667
6/27/08,9.552270833
6/28/08,9.731354167
6/29/08,10.0539375
6/30/08,10.0456875
7/1/08,9.958875
7/2/08,9.818125
7/3/08,9.744229167
7/4/08,9.663604167
7/5/08,9.6301875
7/6/08,9.637479167
7/7/08,9.702208333
7/8/08,9.793020833
7/9/08,9.916979167
7/10/08,10.14247917
7/11/08,11.01985417
7/12/08,11.2130625
7/13/08,11.27404167
7/14/08,10.95260417
7/15/08,11.0000625
7/16/08,10.8895625
7/17/08,10.759625
7/18/08,10.75402083
7/19/08,10.6245
7/20/08,10.5914375
7/21/08,10.4726875
7/22/08,10.43345833
7/23/08,10.36922917
7/24/08,10.3509375
7/25/08,10.39577083
7/26/08,10.45595833
7/27/08,10.454
7/28/08,10.37483333
7/29/08,10.25595833
7/30/08,10.19927083
7/31/08,10.1339375
8/1/08,10.08995833
8/2/08,10.092125
8/3/08,10.11458333
8/4/08,10.24575
8/5/08,10.57733333
8/6/08,10.9369375
8/7/08,10.84752083
8/8/08,10.85354167
8/9/08,10.77266667
8/10/08,10.693875
8/11/08,10.781375
